Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,resp.keys,resp.corr,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,resp.stopped,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,fb_task.started,fb_task.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011212999990675598,0.027944582980126143,0.027944582980126143,0.14754329196875915,space,0.09922962501877919,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h35.50.488,4_calibr_sum,,2025.1.1,121.18782341188532,2025-12-30 18h35.55.765443 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147582457982935,0.1621552499709651,0.1621552499709651,0.6115102499607019,space,0.44167862500762567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h35.50.488,4_calibr_sum,,2025.1.1,121.18782341188532,2025-12-30 18h35.55.765443 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,1.6770013339701109,"[(3.0, 1.6770013339701109)]",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0.6633182080113329,,,,,,,,,,,,,,,,0.6348289169836789,0.6633182080113329,2.309536000015214,3.0,1.6770013339701109,"[(3.0, 1.6770013339701109)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h35.50.488,4_calibr_sum,,2025.1.1,121.18782341188532,2025-12-30 18h35.55.765443 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.21573599998373538,"[(3.0, 0.21573599998373538)]",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,2.319172791962046,,,,,,,,,,,,,,,,2.311947082984261,2.319172791962046,2.5329782079788856,3.0,0.21573599998373538,"[(3.0, 0.21573599998373538)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h35.50.488,4_calibr_sum,,2025.1.1,121.18782341188532,2025-12-30 18h35.55.765443 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.12619045900646597,"[(3.0, 0.12619045900646597)]",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,2.5427530420129187,,,,,,,,,,,,,,,,2.5347879999899305,2.5427530420129187,2.666630791965872,3.0,0.12619045900646597,"[(3.0, 0.12619045900646597)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h35.50.488,4_calibr_sum,,2025.1.1,121.18782341188532,2025-12-30 18h35.55.765443 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.1024573749746196,"[(3.0, 0.1024573749746196)]",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,2.692027417011559,,,,,,,,,,,,,,,,2.669282207963988,2.692027417011559,2.778098458016757,3.0,0.1024573749746196,"[(3.0, 0.1024573749746196)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h35.50.488,4_calibr_sum,,2025.1.1,121.18782341188532,2025-12-30 18h35.55.765443 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.14720129099441692,"[(3.0, 0.14720129099441692)]",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,2.7922719169873744,,,,,,,,,,,,,,,,2.780782374960836,2.7922719169873744,2.9327415419975296,3.0,0.14720129099441692,"[(3.0, 0.14720129099441692)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h35.50.488,4_calibr_sum,,2025.1.1,121.18782341188532,2025-12-30 18h35.55.765443 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.10865487501723692,"[(3.0, 0.10865487501723692)]",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,2.9420939999981783,,,,,,,,,,,,,,,,2.9342226249864325,2.9420939999981783,3.0486942919669673,3.0,0.10865487501723692,"[(3.0, 0.10865487501723692)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h35.50.488,4_calibr_sum,,2025.1.1,121.18782341188532,2025-12-30 18h35.55.765443 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.12682620802661404,"[(3.0, 0.12682620802661404)]",,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,3.058713499980513,,,,,,,,,,,,,,,,3.0507237919955514,3.058713499980513,3.182983291975688,3.0,0.12682620802661404,"[(3.0, 0.12682620802661404)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h35.50.488,4_calibr_sum,,2025.1.1,121.18782341188532,2025-12-30 18h35.55.765443 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.14290320803411305,"[(3.0, 0.14290320803411305)]",,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,3.192179874982685,,,,,,,,,,,,,,,,3.1843876249622554,3.192179874982685,3.3332756250165403,3.0,0.14290320803411305,"[(3.0, 0.14290320803411305)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h35.50.488,4_calibr_sum,,2025.1.1,121.18782341188532,2025-12-30 18h35.55.765443 +0400,
