Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,fin_sum.stopped,key_resp_2.keys,Get_points.started,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,34,34,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,1.0,,,,,None,0,,,,,,,,,,,,,,,0,34,34,16,,,,,62.19346279196907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.18500670802314,62.19346279196907,63.18627991701942,None,0,,,63.18643579201307,63.486053958011325,7,0.6248953361995518,0.31994457962562345,63.19381208298728,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
,35,35,0,,,,0.14,0.15,right,0.47,0.75,-0.2,-0.2,0.2,0.2,35,8,1.0,,,,,None,0,,,,,,,,,,,,,,,0,35,35,15,,,,,63.49607187497895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.487188957980834,63.49607187497895,64.48667608300457,None,0,,,64.48675287497463,64.78595679200953,7,0.6248953361995518,0.31994457962562345,64.49315499997465,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
,36,36,0,,,,0.17,0.18,right,0.5,0.2,-0.2,-0.22,0.2,0.18,7,45,0.5,,,,,None,0,,,,,,,,,,,,,,,0,36,36,2,,,,,64.80120891699335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.78773166699102,64.80120891699335,65.28605591697851,None,0,,,65.28621774999192,65.57701175002148,7,0.6248953361995518,0.31994457962562345,65.29363445797935,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
,37,37,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,,,,,None,0,,,,,,,,,,,,,,,0,37,37,25,,,,,65.58712216699496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5776229170151,65.58712216699496,67.07616645802045,None,0,,,67.0763104169746,67.36860216700006,7,0.6248953361995518,0.31994457962562345,67.08452766697155,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
,38,38,0,,,,0.16,0.17,right,0.49,0.78,-0.2,0.15,0.2,-0.18,30,5,0.7,,,,,None,0,,,,,,,,,,,,,,,0,38,38,7,,,,,67.37819183297688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.36979366699234,67.37819183297688,68.06112241698429,None,0,,,68.06120620801812,68.35161858302308,7,0.6248953361995518,0.31994457962562345,68.06833637499949,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
,39,39,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,,,,,right,0,0.09815754200099036,None,,,,,,,,,,,,,0,39,39,24,,,,,68.36186270799953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.35277079197112,68.36186270799953,68.47036458301591,right,0,0.09815754200099036,None,68.47184000001289,68.76880754198646,7,0.5919742240621417,0.3349981268907146,,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Это было сложно?,5.925022583559169,6.924642583995592,"[(np.float64(5.925022583559169), 6.924642583995592)]",,,,,,,,,,,,,0,0,0,0,68.7928780419752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.77910133299883,68.7928780419752,68.7928780419752,75.70684654201614,5.925022583559169,6.924642583995592,"[(np.float64(5.925022583559169), 6.924642583995592)]",,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,Вы могли контролировать ситуацию?,5.968383017163505,0.47662912495434284,"[(np.float64(5.968383017163505), 0.47662912495434284)]",,,,,,,,,,,,,0,1,1,1,75.71636758302338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.70847474999027,75.71636758302338,75.71636758302338,76.19001654197928,5.968383017163505,0.47662912495434284,"[(np.float64(5.968383017163505), 0.47662912495434284)]",,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько результат зависел от Вас?,5.968383017163505,0.4090489170048386,"[(np.float64(5.968383017163505), 0.4090489170048386)]",,,,,,,,,,,,,0,2,2,2,76.19927199999802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.19235458300682,76.19927199999802,76.19927199999802,76.60629837500164,5.968383017163505,0.4090489170048386,"[(np.float64(5.968383017163505), 0.4090489170048386)]",,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько успешно получалось сравнивать квадраты?,5.968383017163505,0.2677139160223305,"[(np.float64(5.968383017163505), 0.2677139160223305)]",,,,,,,,,,,,,0,3,3,3,76.61543624999467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.60841258300934,76.61543624999467,76.61543624999467,76.88353479199577,5.968383017163505,0.2677139160223305,"[(np.float64(5.968383017163505), 0.2677139160223305)]",,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,Вы довольны результатом?,5.968383017163505,0.14861312502762303,"[(np.float64(5.968383017163505), 0.14861312502762303)]",,,,,,,,,,,,,0,4,4,4,76.89215129200602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.88533866702346,76.89215129200602,76.89215129200602,77.03915154200513,5.968383017163505,0.14861312502762303,"[(np.float64(5.968383017163505), 0.14861312502762303)]",,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0416289580171,77.05005999997957,77.05005999997957,78.35126637498615,None,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.35134787502466,,,,,,,,,,
