Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,resp.keys,resp.corr,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,resp.stopped,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,fb_task.started,fb_task.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035176875011529773,0.043571375019382685,0.043571375019382685,4.712782000016887,space,4.632769207993988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h16.41.087,4_calibr_sum,,2025.1.1,None,2025-12-30 18h16.59.997793 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.712843457993586,4.723916625021957,4.723916625021957,5.062074667017441,space,0.33548700000392273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h16.41.087,4_calibr_sum,,2025.1.1,None,2025-12-30 18h16.59.997793 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,2.008787291997578,"[(3.0, 2.008787291997578)]",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,5.095311457989737,,,,,,,,,,,,,,,,5.079584042017814,5.095311457989737,7.0885776249924675,3.0,2.008787291997578,"[(3.0, 2.008787291997578)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h16.41.087,4_calibr_sum,,2025.1.1,None,2025-12-30 18h16.59.997793 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.13993791601387784,"[(3.0, 0.13993791601387784)]",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,7.096902124991175,,,,,,,,,,,,,,,,7.09137845801888,7.096902124991175,7.238629125000443,3.0,0.13993791601387784,"[(3.0, 0.13993791601387784)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h16.41.087,4_calibr_sum,,2025.1.1,None,2025-12-30 18h16.59.997793 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.10669220797717571,"[(3.0, 0.10669220797717571)]",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,7.245975583035033,,,,,,,,,,,,,,,,7.240592707996257,7.245975583035033,7.355340250011068,3.0,0.10669220797717571,"[(3.0, 0.10669220797717571)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h16.41.087,4_calibr_sum,,2025.1.1,None,2025-12-30 18h16.59.997793 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.12384700000984594,"[(3.0, 0.12384700000984594)]",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,7.363304500002414,,,,,,,,,,,,,,,,7.358155791996978,7.363304500002414,7.488482457993086,3.0,0.12384700000984594,"[(3.0, 0.12384700000984594)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h16.41.087,4_calibr_sum,,2025.1.1,None,2025-12-30 18h16.59.997793 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.11683316604467109,"[(3.0, 0.11683316604467109)]",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,7.495935583021492,,,,,,,,,,,,,,,,7.49079900002107,7.495935583021492,7.612234416999854,3.0,0.11683316604467109,"[(3.0, 0.11683316604467109)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h16.41.087,4_calibr_sum,,2025.1.1,None,2025-12-30 18h16.59.997793 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.12644687498686835,"[(3.0, 0.12644687498686835)]",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,7.6204810829949565,,,,,,,,,,,,,,,,7.613795457989909,7.6204810829949565,7.7457538330345415,3.0,0.12644687498686835,"[(3.0, 0.12644687498686835)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h16.41.087,4_calibr_sum,,2025.1.1,None,2025-12-30 18h16.59.997793 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.12546054099220783,"[(3.0, 0.12546054099220783)]",,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,7.753815583011601,,,,,,,,,,,,,,,,7.74798283301061,7.753815583011601,7.878083667019382,3.0,0.12546054099220783,"[(3.0, 0.12546054099220783)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h16.41.087,4_calibr_sum,,2025.1.1,None,2025-12-30 18h16.59.997793 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.13460379198659211,"[(3.0, 0.13460379198659211)]",,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,7.887320500041824,,,,,,,,,,,,,,,,7.879590541997459,7.887320500041824,8.022407167009078,3.0,0.13460379198659211,"[(3.0, 0.13460379198659211)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h16.41.087,4_calibr_sum,,2025.1.1,None,2025-12-30 18h16.59.997793 +0400,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,3.0,0.11608441604766995,"[(3.0, 0.11608441604766995)]",,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,8.030480541987345,,,,,,,,,,,,,,,,8.024449083022773,8.030480541987345,8.145426250004675,3.0,0.11608441604766995,"[(3.0, 0.11608441604766995)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h16.41.087,4_calibr_sum,,2025.1.1,None,2025-12-30 18h16.59.997793 +0400,
