Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,textbox.started,Get_points.stopped,textbox.text,thanks.started,text_th.started,text_th.stopped,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,27,27,0,,,,0.25,0.24,left,0.8,0.17,-0.18,-0.2,0.18,0.2,25,4,1.5,,,,,right,0,0.14780475001316518,None,,,,,,,,,,,,,0,27,27,36,,,,,28.66617750003934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.65122166700894,28.66617750003934,28.81910770799732,right,0,0.14780475001316518,None,28.82082841702504,29.11709133302793,15,0.1532302693210243,0.033626288464339335,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,28,28,0,,,,0.18,0.17,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,0.7,,,,,right,0,0.2245165840140544,None,,,,,,,,,,,,,0,28,28,6,,,,,29.125176166999154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.117943875025958,29.125176166999154,29.366921958047897,right,0,0.2245165840140544,None,29.367086375015788,29.658458542020526,15,0.15568841810354256,0.03550952762854797,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,29,29,0,,,,0.25,0.26,right,0.54,0.22,-0.3,0.2,0.3,-0.2,37,7,1.5,,,,,right,1,0.1506314579746686,None,,,,,,,,,,,,,0,29,29,26,,,,,29.670101583003998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.66000937501667,29.670101583003998,29.83343308302574,right,1,0.1506314579746686,None,29.83551125001395,30.13433387503028,16,0.15551985276591343,0.03492448541125517,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,30,30,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.5,,,,,right,0,0.12013712496263906,None,,,,,,,,,,,,,0,30,30,27,,,,,30.143821333011147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.13550708303228,30.143821333011147,30.2678279580432,right,0,0.12013712496263906,None,30.27000954200048,30.56823825003812,16,0.15437847444967878,0.03492071332168103,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,31,31,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,1.0,,,,,right,0,0.1825590839725919,None,,,,,,,,,,,,,0,31,31,11,,,,,30.58142579201376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.569513167021796,30.58142579201376,30.770034125016537,right,0,0.1825590839725919,None,30.77018470800249,31.06724404200213,16,0.1552591184972698,0.03471872353860154,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,32,32,0,,,,0.17,0.18,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.5,,,,,right,0,0.21695929201086983,None,,,,,,,,,,,,,0,32,32,30,,,,,31.076566708041355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.068373333022464,31.076566708041355,31.299606208049227,right,0,0.21695929201086983,None,31.299709083046764,31.599505708029028,16,0.15712882072495465,0.03578725984266691,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,33,33,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,,,,,right,0,0.19701370899565518,None,,,,,,,,,,,,,0,33,33,19,,,,,31.60858687502332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.600008708017413,31.60858687502332,31.811006500036456,right,0,0.19701370899565518,None,31.811116375029087,32.1072845000308,16,0.1583019056740929,0.03589528842700763,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,34,34,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,0.7,,,,,right,0,0.21053366700652987,None,,,,,,,,,,,,,0,34,34,8,,,,,32.116992708004545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.107855167007074,32.116992708004545,32.33467833301984,right,0,0.21053366700652987,None,32.33476945804432,32.632471917022485,16,0.15979424171216253,0.03643320636644336,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,35,35,0,,,,0.18,0.19,right,0.51,0.8,-0.2,-0.2,0.2,0.2,45,3,0.5,,,,,right,1,0.20868741598678753,None,,,,,,,,,,,,,0,35,35,3,,,,,32.642619249993004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.63343320804415,32.642619249993004,32.85729050001828,right,1,0.20868741598678753,None,32.859445208043326,33.157602875027806,17,0.16115238544201324,0.036811225245791376,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,36,36,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,right,1,0.22323212499031797,None,,,,,,,,,,,,,0,36,36,14,,,,,33.18247125000926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.15831575001357,33.18247125000926,33.40764550003223,right,1,0.22323212499031797,None,33.4077191670076,33.700126000039745,18,0.16283021624061605,0.03768006201251279,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,37,37,0,,,,0.27,0.26,left,0.52,0.2,-0.18,0.15,0.18,-0.18,20,4,1.5,,,,,right,0,0.21269629203015938,None,,,,,,,,,,,,,0,37,37,38,,,,,33.709916958003305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.70127991703339,33.709916958003305,33.93365366704529,right,0,0.21269629203015938,None,33.93552875000751,34.23346845799824,18,0.16414248139297247,0.03802814391030088,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,38,38,0,,,,0.19,0.2,right,0.52,0.2,-0.2,0.2,0.2,-0.2,36,10,1.5,,,,,right,1,0.4438913339981809,None,,,,,,,,,,,,,0,38,38,34,,,,,34.2427021250478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2343380000093,34.2427021250478,34.691486083029304,right,1,0.4438913339981809,None,34.694440167048015,34.99118754203664,19,0.17131552889567012,0.05800222772851396,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,39,39,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,,,,,right,1,0.31551191699691117,None,,,,,,,,,,,,,0,39,39,25,,,,,35.015795917017385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.99205504200654,35.015795917017385,35.33507962501608,right,1,0.31551191699691117,None,35.335146167024504,35.63208737503737,20,0.17492043859820114,0.061538374576408206,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Это было сложно?,5.158988256549232,3.8239713750081137,"[(np.float64(5.158988256549232), 3.8239713750081137)]",,,,,,,,,,,,,0,0,0,0,35.660691042023245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.64799787499942,35.660691042023245,35.660691042023245,39.47198908304563,5.158988256549232,3.8239713750081137,"[(np.float64(5.158988256549232), 3.8239713750081137)]",,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,Вы могли контролировать ситуацию?,5.158988256549232,0.14456316601717845,"[(np.float64(5.158988256549232), 0.14456316601717845)]",,,,,,,,,,,,,0,1,1,1,39.497298125003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.47541354200803,39.497298125003,39.497298125003,39.62571887503145,5.158988256549232,0.14456316601717845,"[(np.float64(5.158988256549232), 0.14456316601717845)]",,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько результат зависел от Вас?,5.086720867208672,0.4277682499960065,"[(np.float64(5.086720867208672), 0.4277682499960065)]",,,,,,,,,,,,,0,2,2,2,39.639636375010014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.63034408300882,39.639636375010014,39.639636375010014,40.06391237501521,5.086720867208672,0.4277682499960065,"[(np.float64(5.086720867208672), 0.4277682499960065)]",,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько успешно получалось сравнивать квадраты?,5.086720867208672,0.4007679999922402,"[(np.float64(5.086720867208672), 0.4007679999922402)]",,,,,,,,,,,,,0,3,3,3,40.073556417017244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.066795749997254,40.073556417017244,40.073556417017244,40.47184675000608,5.086720867208672,0.4007679999922402,"[(np.float64(5.086720867208672), 0.4007679999922402)]",,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,Вы довольны результатом?,5.086720867208672,0.25932100001955405,"[(np.float64(5.086720867208672), 0.25932100001955405)]",,,,,,,,,,,,,0,4,4,4,40.480977958010044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.47360587504227,40.480977958010044,40.480977958010044,40.73817908304045,5.086720867208672,0.25932100001955405,"[(np.float64(5.086720867208672), 0.25932100001955405)]",,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74176779203117,40.74723387503764,40.74723387503764,42.04806645802455,42.04806645802455,42.03458070801571,None,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.03637237503426,42.04806645802455,51.55122712504817,Введите номер строки для учета баллов. Затем нажмите на пробел для завершения.6666,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.55127925000852,51.563052500016056,52.55656516703311,52.54949062503874,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
