Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,fin_sum.stopped,key_resp_2.keys,Get_points.started,gp_key_resp.started,text_6.started,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,3.0,0.11560999997891486,"[(3.0, 0.11560999997891486)]",,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,3.352538541017566,,,,,,,,,,,,,,,,3.345275458006654,3.352538541017566,3.4664371250546537,3.0,0.11560999997891486,"[(3.0, 0.11560999997891486)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
"Я уверен, что справедливость всегда побеждает несправедливость.",9,9,0,3.0,0.12703291600337252,"[(3.0, 0.12703291600337252)]",,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,3.4757682500057854,,,,,,,,,,,,,,,,3.468082083039917,3.4757682500057854,3.6009677910478786,3.0,0.12703291600337252,"[(3.0, 0.12703291600337252)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
"Я убежден, что, если человек пережил несправедливость, в будущем это возместится.",10,10,0,3.0,0.10954375000437722,"[(3.0, 0.10954375000437722)]",,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,3.610952290997375,,,,,,,,,,,,,,,,3.603284291049931,3.610952290997375,3.717936166038271,3.0,0.10954375000437722,"[(3.0, 0.10954375000437722)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
"Я твердо уверен, что несправедливость в самых разных жизненных ситуациях (в семье, учебе и т. д.) – скорее исключение, чем правило.",11,11,0,3.0,0.1251968330470845,"[(3.0, 0.1251968330470845)]",,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,3.728681041044183,,,,,,,,,,,,,,,,3.7208880410180427,3.728681041044183,3.8504937500110827,3.0,0.1251968330470845,"[(3.0, 0.1251968330470845)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
"Я думаю, что все, кто принимает важные решения, стремятся быть справедливыми.",12,12,0,3.0,0.12592345802113414,"[(3.0, 0.12592345802113414)]",,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,3.860044416040182,,,,,,,,,,,,,,,,3.8523312500328757,3.860044416040182,3.9839300410239957,3.0,0.12592345802113414,"[(3.0, 0.12592345802113414)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9839910410228185,4.429716500046197,space,0.4394776250119321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.429770625021774,4.441169375029858,4.441169375029858,4.680751666019205,space,0.23761208401992917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,0,0,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,right,1,1.2212870829971507,None,,,,,,,,,,,,,0,0,0,3,,,,,,,,,4.7018875410431065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68894437502604,4.7018875410431065,4.7018875410431065,4.7018875410431065,5.9156125410227105,right,1,1.2212870829971507,None,5.918481833010446,5.959048165997956,6.419688791036606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,1,1,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,right,1,0.2029821669566445,None,,,,,,,,,,,,,0,1,1,4,,,,,,,,,6.430125625047367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.420753416023217,6.430125625047367,6.430125625047367,6.430125625047367,6.6308022910379805,right,1,0.2029821669566445,None,6.630888000014238,6.639608291035984,7.12922416604124,7.142604291031603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,2,2,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.0,right,0,0.6993392499862239,None,,,,,,,,,,,,,0,2,2,2,,,,,,,,,7.142604291031603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.130037499999162,7.142604291031603,7.142604291031603,7.142604291031603,7.130668000027072,right,0,0.6993392499862239,None,7.133533916028682,7.142604291031603,7.628813291026745,7.637319041008595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,3,3,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,right,0,0.2307730830507353,None,,,,,,,,,,,,,0,3,3,5,,,,,,,,,7.637319041008595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.629531625017989,7.637319041008595,7.637319041008595,7.637319041008595,7.871230083052069,right,0,0.2307730830507353,None,7.87129050004296,7.894740416028071,8.37782520800829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,4,4,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.0,right,0,-0.0009942909819073975,None,,,,,,,,,,,,,0,4,4,1,,,,,,,,,8.39291045803111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.378902666037902,8.39291045803111,8.39291045803111,8.39291045803111,8.381925166002475,right,0,-0.0009942909819073975,None,8.382033083005808,8.39291045803111,8.880671916005667,8.889559416042175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,5,5,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,right,0,0.49251266702776775,None,,,,,,,,,,,,,0,5,5,0,,,,,,,,,8.889559416042175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.881316750019323,8.889559416042175,8.889559416042175,8.889559416042175,8.881655500037596,right,0,0.49251266702776775,None,8.881690666021314,8.889559416042175,9.379100874997675,9.394169625011273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,6,6,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,right,1,0.2549678750219755,None,,,,,,,,,,,,,0,6,6,6,,,,,,,,,9.394169625011273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.380310041015036,9.394169625011273,9.394169625011273,9.394169625011273,9.655477749998681,right,1,0.2549678750219755,None,9.65698887500912,9.666325958038215,10.155517500010319,10.16505995800253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.155779125052504,11.737760500051081,space,1.5754731660126708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,0,0,0,,,,0.23,0.22,left,0.6,0.15,-0.18,-0.2,0.18,0.2,30,15,1.5,,,,,right,0,0.7374971249955706,None,,,,,,,,,,,,,0,0,0,39,,,,,11.76636883302126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.754970291047357,11.76636883302126,12.51278883300256,right,0,0.7374971249955706,None,12.515781250025611,12.813564333016984,0,0.7374971249955706,0.0,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,1,1,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.5,,,,,right,0,0.25243158295052126,None,,,,,,,,,,,,,0,1,1,20,,,,,12.825271083042026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.814785333001055,12.825271083042026,13.080568791017868,right,0,0.25243158295052126,None,13.080670208029915,13.379841540998314,0,0.49496435397304595,0.24253277102252468,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,2,2,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,0.7,,,,,right,1,0.4668800829676911,None,,,,,,,,,,,,,0,2,2,5,,,,,13.389136083016638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.380972750019282,13.389136083016638,13.86293837503763,right,1,0.4668800829676911,None,13.866462166013662,14.161712750035804,1,0.48560293030459434,0.19846923150145152,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,3,3,0,,,,0.17,0.18,right,0.5,0.2,-0.2,-0.22,0.2,0.18,7,45,0.5,,,,,None,0,,,,,,,,,,,,,,,0,3,3,2,,,,,14.17120912502287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.162859166041017,14.17120912502287,14.655187458032742,None,0,,,14.657693833054509,14.955315416038502,1,0.48560293030459434,0.19846923150145152,14.665365500026383,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,4,4,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,0.5,,,,,right,0,0.2782385000027716,None,,,,,,,,,,,,,0,4,4,1,,,,,14.96503520803526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.956332250032574,14.96503520803526,15.247697416052688,right,0,0.2782385000027716,None,15.24949104100233,15.54580912500387,1,0.43376182272913866,0.19392015932731815,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,5,5,0,,,,0.12,0.13,right,0.45,0.85,-0.2,0.0,0.2,0.2,5,10,1.0,,,,,right,1,0.27346062497235835,None,,,,,,,,,,,,,0,5,5,12,,,,,15.562197375053074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.54700770805357,15.562197375053074,15.838780165999196,right,1,0.27346062497235835,None,15.84078575001331,16.13791516603669,2,0.4017015831777826,0.1849201405882748,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
