Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,fin_sum.stopped,key_resp_2.keys,Get_points.started,gp_key_resp.started,text_6.started,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,6,6,0,,,,0.23,0.17,right,0.52,0.2,-0.3,-0.22,0.3,0.18,36,10,1.5,,,,,right,1,0.5133473750320263,None,,,,,,,,,,,,,0,6,6,29,,,,,16.148219291004352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.13900966604706,16.148219291004352,16.66288895800244,right,1,0.5133473750320263,None,16.662951125006657,16.953321375011,3,0.4203092151534899,0.17386038987658914,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,7,7,0,,,,0.24,0.23,left,0.7,0.16,-0.18,0.2,0.18,-0.2,6,47,1.5,,,,,right,0,0.39785508305067196,None,,,,,,,,,,,,,0,7,7,35,,,,,16.962767541001085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95391116599785,16.962767541001085,17.362916375044733,right,0,0.39785508305067196,None,17.365006750042085,17.66297362500336,3,0.4171014819959445,0.16115510372338204,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,8,8,0,,,,0.14,0.15,right,0.47,0.75,-0.2,-0.2,0.2,0.2,35,8,0.5,,,,,None,0,,,,,,,,,,,,,,,0,8,8,4,,,,,17.6729834160069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.664102208043914,17.6729834160069,18.161114583024755,None,0,,,18.163442875025794,18.452800083032344,3,0.4171014819959445,0.16115510372338204,18.169540416041855,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,9,9,0,,,,0.2,0.21,left,0.15,0.6,-0.3,0.21,0.3,0.18,6,47,1.5,,,,,right,0,0.09573558397823945,None,,,,,,,,,,,,,0,9,9,33,,,,,18.462029791029636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.453616916027386,18.462029791029636,18.563089166011196,right,0,0.09573558397823945,None,18.564832083007786,18.8626679580193,3,0.37693074474373134,0.18444623456114978,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,10,10,0,,,,0.26,0.25,left,0.25,0.25,-0.18,0.21,0.18,0.18,3,45,1.5,,,,,right,0,0.4212538340361789,None,,,,,,,,,,,,,0,10,10,37,,,,,18.872622499999125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.863798375008628,18.872622499999125,19.29905366600724,right,0,0.4212538340361789,None,19.29924712504726,19.596456958039198,3,0.38185553244289216,0.17445456651129143,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,11,11,0,,,,0.18,0.17,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,0.7,,,,,None,0,,,,,,,,,,,,,,,0,11,11,6,,,,,19.605521958030295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.59724112501135,19.605521958030295,20.29821570799686,None,0,,,20.300226000021212,20.596394458028954,3,0.38185553244289216,0.17445456651129143,20.31151462503476,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,12,12,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,1.0,,,,,None,0,,,,,,,,,,,,,,,0,12,12,16,,,,,20.605778500030283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.59715112502454,20.605778500030283,21.59545641602017,None,0,,,21.595528375008143,21.885843083029613,3,0.38185553244289216,0.17445456651129143,21.602221708046272,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,13,13,0,,,,0.14,0.15,right,0.47,0.75,-0.2,-0.2,0.2,0.2,35,8,1.0,,,,,None,0,,,,,,,,,,,,,,,0,13,13,15,,,,,21.895530125009827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.88688358303625,21.895530125009827,22.879608041024767,None,0,,,22.879754333000164,23.183511708048172,3,0.38185553244289216,0.17445456651129143,22.895441791042686,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,14,14,0,,,,0.27,0.26,left,0.52,0.2,-0.18,0.15,0.18,-0.18,20,4,1.5,,,,,right,0,0.4340694999555126,None,,,,,,,,,,,,,0,14,14,38,,,,,23.194691583048552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.18451750004897,23.194691583048552,23.636806666036136,right,0,0.4340694999555126,None,23.638453583000228,23.937734250037465,3,0.3870769291941542,0.16624176086436632,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,15,15,0,,,,0.25,0.24,left,0.8,0.17,-0.18,-0.2,0.18,0.2,25,4,1.5,,,,,right,0,0.2953136669821106,None,,,,,,,,,,,,,0,15,15,36,,,,,23.94897220801795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.938502541044727,23.94897220801795,24.246996250003576,right,0,0.2953136669821106,None,24.247058708046097,24.545121666043997,3,0.3787348144476048,0.16068552776994327,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,16,16,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,0.7,,,,,right,0,0.3397956659900956,None,,,,,,,,,,,,,0,16,16,8,,,,,24.55381229100749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.545930166030303,24.55381229100749,24.89633362501627,right,0,0.3397956659900956,None,24.89642945805099,25.188936999998987,3,0.37548988540947903,0.15422065622855766,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,17,17,0,,,,0.16,0.17,right,0.49,0.78,-0.2,0.15,0.2,-0.18,30,5,0.7,,,,,None,0,,,,,,,,,,,,,,,0,17,17,7,,,,,25.198474833043292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.19015275000129,25.198474833043292,25.883316500054207,None,0,,,25.8857881250442,26.178184290998615,3,0.37548988540947903,0.15422065622855766,25.893151958007365,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,18,18,0,,,,0.17,0.18,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.5,,,,,None,0,,,,,,,,,,,,,,,0,18,18,30,,,,,26.186985625012312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.178977625037078,26.186985625012312,27.67127991601592,None,0,,,27.671377458027564,27.96216475003166,3,0.37548988540947903,0.15422065622855766,27.678683250036556,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,19,19,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,None,0,,,,,,,,,,,,,,,0,19,19,13,,,,,27.971720416040625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.962980916025117,27.971720416040625,28.96209833305329,None,0,,,28.962237458035816,29.26227079104865,3,0.37548988540947903,0.15422065622855766,28.970553916005883,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,20,20,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,,,,,None,0,,,,,,,,,,,,,,,0,20,20,23,,,,,29.27812825003639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.26342975004809,29.27812825003639,30.764828958024736,None,0,,,30.76490800001193,31.061763083038386,3,0.37548988540947903,0.15422065622855766,30.778255958051886,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,21,21,0,,,,0.2,0.21,right,0.13,0.85,-0.2,-0.2,0.2,0.2,0,45,1.0,,,,,None,0,,,,,,,,,,,,,,,0,21,21,9,,,,,31.07191670802422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.062610375054646,31.07191670802422,32.06282862502849,None,0,,,32.062968916026875,32.35378516605124,3,0.37548988540947903,0.15422065622855766,32.07046750001609,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,22,22,0,,,,0.25,0.26,right,0.54,0.22,-0.3,0.2,0.3,-0.2,37,7,1.5,,,,,right,1,0.50148595898645,None,,,,,,,,,,,,,0,22,22,26,,,,,32.36466095800279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.354313165997155,32.36466095800279,32.87184316600906,right,1,0.50148595898645,None,32.873877125035506,33.17204104101984,4,0.38518189106924605,0.15192659806361974,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,23,23,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.5,,,,,None,0,,,,,,,,,,,,,,,0,23,23,21,,,,,33.18185645801714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.17256137501681,33.18185645801714,34.66864891600562,None,0,,,34.67060066602426,34.962394750036765,4,0.38518189106924605,0.15192659806361974,34.6783738330123,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,24,24,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,1.0,,,,,None,0,,,,,,,,,,,,,,,0,24,24,11,,,,,34.97201325005153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.963153708027676,34.97201325005153,35.96431495802244,None,0,,,35.96446108300006,36.25496708304854,4,0.38518189106924605,0.15192659806361974,35.971270583046135,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,25,25,0,,,,0.26,0.27,right,0.15,0.5,-0.3,-0.2,0.3,0.2,5,45,1.0,,,,,None,0,,,,,,,,,,,,,,,0,25,25,10,,,,,36.26489108300302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.25607504101936,36.26489108300302,37.257093791035004,None,0,,,37.25724625005387,37.55317087500589,4,0.38518189106924605,0.15192659806361974,37.265396083006635,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,26,26,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,None,0,,,,,,,,,,,,,,,0,26,26,14,,,,,37.57762262504548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.55436620803084,37.57762262504548,38.56332683301298,None,0,,,38.563482958008535,38.85374633304309,4,0.38518189106924605,0.15192659806361974,38.57008316600695,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,27,27,0,,,,0.19,0.2,left,0.5,0.2,-0.3,-0.2,0.3,0.2,30,15,1.5,,,,,None,0,,,,,,,,,,,,,,,0,27,27,32,,,,,38.86450537503697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8545945410151,38.86450537503697,40.35344104102114,None,0,,,40.353490916022565,40.646361291001085,4,0.38518189106924605,0.15192659806361974,40.361007208004594,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,28,28,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,0.5,,,,,None,0,,,,,,,,,,,,,,,0,28,28,0,,,,,40.655165416013915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.64728125004331,40.655165416013915,41.14690533303656,None,0,,,41.14698633301305,41.44393062504241,4,0.38518189106924605,0.15192659806361974,41.153827291040216,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,29,29,0,,,,0.19,0.2,right,0.52,0.2,-0.2,0.2,0.2,-0.2,36,10,1.5,,,,,None,0,,,,,,,,,,,,,,,0,29,29,34,,,,,41.45591970800888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.445146916026715,41.45591970800888,42.9461205410189,None,0,,,42.9462590830517,43.23660204099724,4,0.38518189106924605,0.15192659806361974,42.953183166042436,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,30,30,0,,,,0.18,0.19,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,1.5,,,,,right,0,1.0454796659760177,None,,,,,,,,,,,,,0,30,30,31,,,,,43.24627275002422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.23743029101752,43.24627275002422,44.300176625023596,right,0,1.0454796659760177,None,44.30209041602211,44.59586029103957,4,0.4323460178483011,0.2243900890936845,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,31,31,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.5,,,,,right,0,0.2493183750193566,None,,,,,,,,,,,,,0,31,31,27,,,,,44.605848041013815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.59701700002188,44.605848041013815,44.86486212501768,right,0,0.2493183750193566,None,44.864968958019745,45.161769333004486,4,0.4201441749930382,0.22153684609595686,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,32,32,0,,,,0.21,0.2,left,0.16,0.7,-0.18,0.15,0.18,-0.18,5,45,1.0,,,,,right,0,0.2498619999969378,None,,,,,,,,,,,,,0,32,32,18,,,,,45.17181920801522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.162881208001636,45.17181920801522,45.44556220801314,right,0,0.2498619999969378,None,45.445644000021275,45.746027790999506,4,0.4095015390557819,0.21842652949539892,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,33,33,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,,,,,right,1,0.413560458982829,None,,,,,,,,,,,,,0,33,33,25,,,,,45.75561737501994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.747156458033714,45.75561737501994,46.17062466603238,right,1,0.413560458982829,None,46.17286458302988,46.46952391602099,5,0.40974029905149056,0.21190701156011246,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,34,34,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,,,,,right,0,0.7648708329652436,None,,,,,,,,,,,,,0,34,34,19,,,,,46.48040620802203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.47051145799924,46.48040620802203,47.2541045830003,right,0,0.7648708329652436,None,47.255551833019126,47.55401850002818,5,0.42946977315781015,0.22142079644453658,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,35,35,0,,,,0.18,0.19,right,0.51,0.8,-0.2,-0.2,0.2,0.2,45,3,0.5,,,,,None,0,,,,,,,,,,,,,,,0,35,35,3,,,,,47.578129666042514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.55452545802109,47.578129666042514,48.06489750003675,None,0,,,48.06712587503716,48.36163275002036,5,0.42946977315781015,0.22142079644453658,48.07820054102922,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,36,36,0,,,,0.16,0.17,right,0.49,0.78,-0.2,0.15,0.2,-0.18,30,5,1.0,,,,,right,1,0.08995570900151506,None,,,,,,,,,,,,,0,36,36,17,,,,,48.37097237503622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3628805000335,48.37097237503622,48.4629685410182,right,1,0.08995570900151506,None,48.465465208049864,48.762046582996845,6,0.4116006118864262,0.228460754658098,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,37,37,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,,,,,right,0,0.2547997909714468,None,,,,,,,,,,,,,0,37,37,24,,,,,48.773694875009824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.76320441602729,48.773694875009824,49.035322041017935,right,0,0.2547997909714468,None,49.036978458054364,49.32978925004136,6,0.40376057084067724,0.22528306466838957,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,38,38,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,,,,,right,1,0.2872990000178106,None,,,,,,,,,,,,,0,38,38,22,,,,,49.339223041024525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.330956375051755,49.339223041024525,49.62992249999661,right,1,0.2872990000178106,None,49.63153541600332,49.927797458018176,7,0.3982147817538741,0.22124825645776974,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,39,39,0,,,,0.12,0.13,right,0.45,0.85,-0.2,0.0,0.2,0.2,5,10,1.5,,,,,right,1,0.3442323329509236,None,,,,,,,,,,,,,0,39,39,28,,,,,49.93796191603178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9284550830489,49.93796191603178,50.29053429100895,right,1,0.3442323329509236,None,50.29067862505326,50.59518566605402,8,0.3957610340810127,0.21645367509514715,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Это было сложно?,5.079494128274616,5.456579624966253,"[(np.float64(5.079494128274616), 5.456579624966253)]",,,,,,,,,,,,,0,0,0,0,50.62204012501752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.60901441599708,50.62204012501752,50.62204012501752,56.068275166035164,5.079494128274616,5.456579624966253,"[(np.float64(5.079494128274616), 5.456579624966253)]",,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,Вы могли контролировать ситуацию?,5.079494128274616,0.40781883301679045,"[(np.float64(5.079494128274616), 0.40781883301679045)]",,,,,,,,,,,,,0,1,1,1,56.07813762500882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.070478291017935,56.07813762500882,56.07813762500882,56.483286583039444,5.079494128274616,0.40781883301679045,"[(np.float64(5.079494128274616), 0.40781883301679045)]",,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько результат зависел от Вас?,5.07226738934056,1.1442711669951677,"[(np.float64(5.07226738934056), 1.1442711669951677)]",,,,,,,,,,,,,0,2,2,2,56.49513570801355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4857460000203,56.49513570801355,56.49513570801355,57.63453216600465,5.07226738934056,1.1442711669951677,"[(np.float64(5.07226738934056), 1.1442711669951677)]",,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,Насколько успешно получалось сравнивать квадраты?,5.07226738934056,1.3094440000131726,"[(np.float64(5.07226738934056), 1.3094440000131726)]",,,,,,,,,,,,,0,3,3,3,57.64440091600409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.63686345802853,57.64440091600409,57.64440091600409,58.95117225003196,5.07226738934056,1.3094440000131726,"[(np.float64(5.07226738934056), 1.3094440000131726)]",,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,Вы довольны результатом?,5.007226738934056,6.430432332970668,"[(np.float64(5.007226738934056), 6.430432332970668)]",,,,,,,,,,,,,0,4,4,4,58.960460375004914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.95305150002241,58.960460375004914,58.960460375004914,65.39518912503263,5.007226738934056,6.430432332970668,"[(np.float64(5.007226738934056), 6.430432332970668)]",,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.39908983302303,65.40632129099686,65.40632129099686,66.69590454100398,None,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.69612695800606,66.7070353750023,66.7070353750023,,,,,,,,,,
