Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,resp.keys,resp.corr,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,resp.stopped,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,fb_task.started,fb_task.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010771166998893023,0.027312791964504868,0.027312791964504868,0.594015791954007,space,0.5356479170150124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h31.44.008,4_calibr_sum,,2025.1.1,121.61923901321178,2025-12-30 18h32.01.364850 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5940780419623479,0.6123946669977158,0.6123946669977158,0.9213143329834566,space,0.30362916697049513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h31.44.008,4_calibr_sum,,2025.1.1,121.61923901321178,2025-12-30 18h32.01.364850 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,4.0,1.3656051669968292,"[(4.0, 1.3656051669968292)]",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0.9706725829746574,,,,,,,,,,,,,,,,0.9416174999787472,0.9706725829746574,2.3075153329991736,4.0,1.3656051669968292,"[(4.0, 1.3656051669968292)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h31.44.008,4_calibr_sum,,2025.1.1,121.61923901321178,2025-12-30 18h32.01.364850 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,2.0,1.6040130839683115,"[(2.0, 1.6040130839683115)]",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,2.33519933297066,,,,,,,,,,,,,,,,2.3106021249550395,2.33519933297066,3.922069957945496,2.0,1.6040130839683115,"[(2.0, 1.6040130839683115)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h31.44.008,4_calibr_sum,,2025.1.1,121.61923901321178,2025-12-30 18h32.01.364850 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,1.0,0.7478727080160752,"[(1.0, 0.7478727080160752)]",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,3.9350651249988005,,,,,,,,,,,,,,,,3.9247312499792315,3.9350651249988005,4.679729457944632,1.0,0.7478727080160752,"[(1.0, 0.7478727080160752)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h31.44.008,4_calibr_sum,,2025.1.1,121.61923901321178,2025-12-30 18h32.01.364850 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,4.0,0.9227550000068732,"[(4.0, 0.9227550000068732)]",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,4.692709999973886,,,,,,,,,,,,,,,,4.683118207962252,4.692709999973886,5.612422332982533,4.0,0.9227550000068732,"[(4.0, 0.9227550000068732)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h31.44.008,4_calibr_sum,,2025.1.1,121.61923901321178,2025-12-30 18h32.01.364850 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.710239750042092,"[(3.0, 0.710239750042092)]",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,5.6251182919950224,,,,,,,,,,,,,,,,5.6154793329769745,5.6251182919950224,6.336493916984182,3.0,0.710239750042092,"[(3.0, 0.710239750042092)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h31.44.008,4_calibr_sum,,2025.1.1,121.61923901321178,2025-12-30 18h32.01.364850 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,5.0,0.6097723330021836,"[(5.0, 0.6097723330021836)]",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,6.347489499952644,,,,,,,,,,,,,,,,6.338618666981347,6.347489499952644,6.9561357499915175,5.0,0.6097723330021836,"[(5.0, 0.6097723330021836)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h31.44.008,4_calibr_sum,,2025.1.1,121.61923901321178,2025-12-30 18h32.01.364850 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,2.0,0.8038646249915473,"[(2.0, 0.8038646249915473)]",,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,6.969341249961872,,,,,,,,,,,,,,,,6.95904037496075,6.969341249961872,7.768704249989241,2.0,0.8038646249915473,"[(2.0, 0.8038646249915473)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h31.44.008,4_calibr_sum,,2025.1.1,121.61923901321178,2025-12-30 18h32.01.364850 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.460928792017512,"[(3.0, 0.460928792017512)]",,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,7.778297916986048,,,,,,,,,,,,,,,,7.7704323749640025,7.778297916986048,8.238904249970801,3.0,0.460928792017512,"[(3.0, 0.460928792017512)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h31.44.008,4_calibr_sum,,2025.1.1,121.61923901321178,2025-12-30 18h32.01.364850 +0400,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,4.0,0.750558290979825,"[(4.0, 0.750558290979825)]",,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,8.251947874960024,,,,,,,,,,,,,,,,8.241407207970042,8.251947874960024,9.002885957947,4.0,0.750558290979825,"[(4.0, 0.750558290979825)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h31.44.008,4_calibr_sum,,2025.1.1,121.61923901321178,2025-12-30 18h32.01.364850 +0400,
"Я уверен, что справедливость всегда побеждает несправедливость.",9,9,0,2.0,0.634395333006978,"[(2.0, 0.634395333006978)]",,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,9.013792541984003,,,,,,,,,,,,,,,,9.005131374986377,9.013792541984003,9.646284916962031,2.0,0.634395333006978,"[(2.0, 0.634395333006978)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h31.44.008,4_calibr_sum,,2025.1.1,121.61923901321178,2025-12-30 18h32.01.364850 +0400,
