Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,resp.keys,resp.corr,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,resp.stopped,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,fb_task.started,fb_task.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01406104100169614,0.021134500042535365,0.021134500042535365,1.0413494580425322,space,0.9898510830244049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h18.55.386,4_calibr_sum,,2025.1.1,120.67214330893484,2025-12-30 18h19.00.214067 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0414004580234177,1.065863249998074,1.065863249998074,3.5225920410011895,space,2.4473989160032943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h18.55.386,4_calibr_sum,,2025.1.1,120.67214330893484,2025-12-30 18h19.00.214067 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,4.0,2.525514999986626,"[(4.0, 2.525514999986626)]",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,3.570396208029706,,,,,,,,,,,,,,,,3.5417880410095677,3.570396208029706,6.066022541024722,4.0,2.525514999986626,"[(4.0, 2.525514999986626)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h18.55.386,4_calibr_sum,,2025.1.1,120.67214330893484,2025-12-30 18h19.00.214067 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.3743522500153631,"[(3.0, 0.3743522500153631)]",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,6.075788166024722,,,,,,,,,,,,,,,,6.068343457998708,6.075788166024722,6.449622750049457,3.0,0.3743522500153631,"[(3.0, 0.3743522500153631)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h18.55.386,4_calibr_sum,,2025.1.1,120.67214330893484,2025-12-30 18h19.00.214067 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,5.0,0.9406669170130044,"[(5.0, 0.9406669170130044)]",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,6.458785583032295,,,,,,,,,,,,,,,,6.451421958045103,6.458785583032295,7.399345000041649,5.0,0.9406669170130044,"[(5.0, 0.9406669170130044)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h18.55.386,4_calibr_sum,,2025.1.1,120.67214330893484,2025-12-30 18h19.00.214067 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,2.0,1.1342209579888731,"[(2.0, 1.1342209579888731)]",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,7.409417375049088,,,,,,,,,,,,,,,,7.402019166038372,7.409417375049088,8.541067875048611,2.0,1.1342209579888731,"[(2.0, 1.1342209579888731)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h18.55.386,4_calibr_sum,,2025.1.1,120.67214330893484,2025-12-30 18h19.00.214067 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,4.0,3.1083298749872483,"[(4.0, 3.1083298749872483)]",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,8.550942208035849,,,,,,,,,,,,,,,,8.543287833046634,8.550942208035849,11.656888625002466,4.0,3.1083298749872483,"[(4.0, 3.1083298749872483)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h18.55.386,4_calibr_sum,,2025.1.1,120.67214330893484,2025-12-30 18h19.00.214067 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,5.0,1.1341358330100775,"[(5.0, 1.1341358330100775)]",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,11.666466708004009,,,,,,,,,,,,,,,,11.658476291049737,11.666466708004009,12.799273708020337,5.0,1.1341358330100775,"[(5.0, 1.1341358330100775)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h18.55.386,4_calibr_sum,,2025.1.1,120.67214330893484,2025-12-30 18h19.00.214067 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,2.0,1.0005302079953253,"[(2.0, 1.0005302079953253)]",,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,12.808655291039031,,,,,,,,,,,,,,,,12.80150720803067,12.808655291039031,13.807448458042927,2.0,1.0005302079953253,"[(2.0, 1.0005302079953253)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h18.55.386,4_calibr_sum,,2025.1.1,120.67214330893484,2025-12-30 18h19.00.214067 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,5.0,2.9594132089987397,"[(5.0, 2.9594132089987397)]",,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,13.816354916023556,,,,,,,,,,,,,,,,13.808933624997735,13.816354916023556,16.774348541046493,5.0,2.9594132089987397,"[(5.0, 2.9594132089987397)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h18.55.386,4_calibr_sum,,2025.1.1,120.67214330893484,2025-12-30 18h19.00.214067 +0400,
