Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,resp.keys,resp.corr,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,resp.stopped,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,fb_task.started,fb_task.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019782832998316735,0.031271375017240644,0.031271375017240644,0.9330718329874799,space,0.8700149579672143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h55.39.591,4_calibr_sum,,2025.1.1,120.91648697416697,2025-12-30 18h55.44.216089 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9331525409943424,0.9537848749896511,0.9537848749896511,1.283163332962431,space,0.3204355409834534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h55.39.591,4_calibr_sum,,2025.1.1,120.91648697416697,2025-12-30 18h55.44.216089 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,1.7361461669788696,"[(3.0, 1.7361461669788696)]",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,1.329302124970127,,,,,,,,,,,,,,,,1.300075665989425,1.329302124970127,3.0387202909914777,3.0,1.7361461669788696,"[(3.0, 1.7361461669788696)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h55.39.591,4_calibr_sum,,2025.1.1,120.91648697416697,2025-12-30 18h55.44.216089 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.11597641604021192,"[(3.0, 0.11597641604021192)]",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,3.04832429101225,,,,,,,,,,,,,,,,3.040974833013024,3.04832429101225,3.162238749966491,3.0,0.11597641604021192,"[(3.0, 0.11597641604021192)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h55.39.591,4_calibr_sum,,2025.1.1,120.91648697416697,2025-12-30 18h55.44.216089 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.10873387497849762,"[(3.0, 0.10873387497849762)]",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,3.1718643750064075,,,,,,,,,,,,,,,,3.1641245409846306,3.1718643750064075,3.278398374968674,3.0,0.10873387497849762,"[(3.0, 0.10873387497849762)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h55.39.591,4_calibr_sum,,2025.1.1,120.91648697416697,2025-12-30 18h55.44.216089 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.12587787496158853,"[(3.0, 0.12587787496158853)]",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,3.2889612909639254,,,,,,,,,,,,,,,,3.2809480410069227,3.2889612909639254,3.4118281659903005,3.0,0.12587787496158853,"[(3.0, 0.12587787496158853)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h55.39.591,4_calibr_sum,,2025.1.1,120.91648697416697,2025-12-30 18h55.44.216089 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.12604970898246393,"[(3.0, 0.12604970898246393)]",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,3.422143583011348,,,,,,,,,,,,,,,,3.4140133329783566,3.422143583011348,3.5451984999817796,3.0,0.12604970898246393,"[(3.0, 0.12604970898246393)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h55.39.591,4_calibr_sum,,2025.1.1,120.91648697416697,2025-12-30 18h55.44.216089 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.11017249996075407,"[(3.0, 0.11017249996075407)]",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,3.5543997079948895,,,,,,,,,,,,,,,,3.5466660410165787,3.5543997079948895,3.662718166015111,3.0,0.11017249996075407,"[(3.0, 0.11017249996075407)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h55.39.591,4_calibr_sum,,2025.1.1,120.91648697416697,2025-12-30 18h55.44.216089 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.12597987498156726,"[(3.0, 0.12597987498156726)]",,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,3.6726376250153407,,,,,,,,,,,,,,,,3.6648527910001576,3.6726376250153407,3.7960210000164807,3.0,0.12597987498156726,"[(3.0, 0.12597987498156726)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h55.39.591,4_calibr_sum,,2025.1.1,120.91648697416697,2025-12-30 18h55.44.216089 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.12613791599869728,"[(3.0, 0.12613791599869728)]",,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,3.805075957963709,,,,,,,,,,,,,,,,3.7974854999920353,3.805075957963709,3.9295854999800213,3.0,0.12613791599869728,"[(3.0, 0.12613791599869728)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h55.39.591,4_calibr_sum,,2025.1.1,120.91648697416697,2025-12-30 18h55.44.216089 +0400,
