Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,resp.keys,resp.corr,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,resp.stopped,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,fb_task.started,fb_task.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024742040957789868,0.03288991597946733,0.03288991597946733,0.4137759159784764,space,0.3704854579991661,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4138826659764163,0.4262402909807861,0.4262402909807861,0.7549893749528565,space,0.3244907080079429,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,1.7434355409932323,"[(3.0, 1.7434355409932323)]",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0.8017785409465432,,,,,,,,,,,,,,,,0.7744290829868987,0.8017785409465432,2.515533500001766,3.0,1.7434355409932323,"[(3.0, 1.7434355409932323)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.13284491701051593,"[(3.0, 0.13284491701051593)]",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,2.525526624987833,,,,,,,,,,,,,,,,2.5178767909528688,2.525526624987833,2.6578394579701126,3.0,0.13284491701051593,"[(3.0, 0.13284491701051593)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.1250156669993885,"[(3.0, 0.1250156669993885)]",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,2.6669254999724217,,,,,,,,,,,,,,,,2.6598070829641074,2.6669254999724217,2.7911620409577154,3.0,0.1250156669993885,"[(3.0, 0.1250156669993885)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.12461187498411164,"[(3.0, 0.12461187498411164)]",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,2.800765124964528,,,,,,,,,,,,,,,,2.7935559999896213,2.800765124964528,2.9246471659862436,3.0,0.12461187498411164,"[(3.0, 0.12461187498411164)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.12381600000662729,"[(3.0, 0.12381600000662729)]",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,2.934204040968325,,,,,,,,,,,,,,,,2.926867665955797,2.934204040968325,3.0586421659681946,3.0,0.12381600000662729,"[(3.0, 0.12381600000662729)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.13363587501225993,"[(3.0, 0.13363587501225993)]",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,3.0672065829858184,,,,,,,,,,,,,,,,3.0601304159499705,3.0672065829858184,3.1998124579549767,3.0,0.13363587501225993,"[(3.0, 0.13363587501225993)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.13263991696294397,"[(3.0, 0.13263991696294397)]",,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,3.2094991659978405,,,,,,,,,,,,,,,,3.201898582978174,3.2094991659978405,3.341187165991869,3.0,0.13263991696294397,"[(3.0, 0.13263991696294397)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.13416166603565216,"[(3.0, 0.13416166603565216)]",,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,3.34985699999379,,,,,,,,,,,,,,,,3.3425981659675017,3.34985699999379,3.482742915977724,3.0,0.13416166603565216,"[(3.0, 0.13416166603565216)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,3.0,0.14305195800261572,"[(3.0, 0.14305195800261572)]",,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,3.4923872079816647,,,,,,,,,,,,,,,,3.484598457987886,3.4923872079816647,3.6331641659489833,3.0,0.14305195800261572,"[(3.0, 0.14305195800261572)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
"Я уверен, что справедливость всегда побеждает несправедливость.",9,9,0,3.0,0.12544179195538163,"[(3.0, 0.12544179195538163)]",,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,3.6426202909788117,,,,,,,,,,,,,,,,3.634777374973055,3.6426202909788117,3.7657908749533817,3.0,0.12544179195538163,"[(3.0, 0.12544179195538163)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
"Я убежден, что, если человек пережил несправедливость, в будущем это возместится.",10,10,0,3.0,0.13275308400625363,"[(3.0, 0.13275308400625363)]",,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,3.7761170409503393,,,,,,,,,,,,,,,,3.768102124973666,3.7761170409503393,3.9086624159826897,3.0,0.13275308400625363,"[(3.0, 0.13275308400625363)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
"Я твердо уверен, что несправедливость в самых разных жизненных ситуациях (в семье, учебе и т. д.) – скорее исключение, чем правило.",11,11,0,3.0,0.13625183404656127,"[(3.0, 0.13625183404656127)]",,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,3.9191347909509204,,,,,,,,,,,,,,,,3.9116210409556516,3.9191347909509204,4.059535124979448,3.0,0.13625183404656127,"[(3.0, 0.13625183404656127)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h47.28.543,4_calibr_sum,,2025.1.1,121.55351424944278,2025-12-30 18h47.35.462683 +0400,
