Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,resp.keys,resp.corr,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,resp.stopped,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,fb_task.started,fb_task.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03010154195362702,0.03806337498826906,0.03806337498826906,0.6027132919989526,space,0.5340984580107033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h51.48.570,4_calibr_sum,,2025.1.1,None,2025-12-30 18h52.03.978803 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6027832089457661,0.6236313749686815,0.6236313749686815,0.8908777500037104,space,0.26247395802056417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h51.48.570,4_calibr_sum,,2025.1.1,None,2025-12-30 18h52.03.978803 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,0.7362896669656038,"[(3.0, 0.7362896669656038)]",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0.9380882089608349,,,,,,,,,,,,,,,,0.9078086249646731,0.9380882089608349,1.643811541958712,3.0,0.7362896669656038,"[(3.0, 0.7362896669656038)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h51.48.570,4_calibr_sum,,2025.1.1,None,2025-12-30 18h52.03.978803 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.1298490830231458,"[(3.0, 0.1298490830231458)]",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,1.6691363749559969,,,,,,,,,,,,,,,,1.6462404589983635,1.6691363749559969,1.7875511249876581,3.0,0.1298490830231458,"[(3.0, 0.1298490830231458)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h51.48.570,4_calibr_sum,,2025.1.1,None,2025-12-30 18h52.03.978803 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.10897037503309548,"[(3.0, 0.10897037503309548)]",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,1.7991190839675255,,,,,,,,,,,,,,,,1.789963083982002,1.7991190839675255,1.9070624999585561,3.0,0.10897037503309548,"[(3.0, 0.10897037503309548)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h51.48.570,4_calibr_sum,,2025.1.1,None,2025-12-30 18h52.03.978803 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.12372974999016151,"[(3.0, 0.12372974999016151)]",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,1.9196159999701194,,,,,,,,,,,,,,,,1.9101922089466825,1.9196159999701194,2.0401788749732077,3.0,0.12372974999016151,"[(3.0, 0.12372974999016151)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h51.48.570,4_calibr_sum,,2025.1.1,None,2025-12-30 18h52.03.978803 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.12337975000264123,"[(3.0, 0.12337975000264123)]",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,2.0538814169703983,,,,,,,,,,,,,,,,2.0430983339902014,2.0538814169703983,2.1732293340028264,3.0,0.12337975000264123,"[(3.0, 0.12337975000264123)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h51.48.570,4_calibr_sum,,2025.1.1,None,2025-12-30 18h52.03.978803 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.11415229103295133,"[(3.0, 0.11415229103295133)]",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,2.1853287919657305,,,,,,,,,,,,,,,,2.1750853339908645,2.1853287919657305,2.2972592919832096,3.0,0.11415229103295133,"[(3.0, 0.11415229103295133)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h51.48.570,4_calibr_sum,,2025.1.1,None,2025-12-30 18h52.03.978803 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.09871141699841246,"[(3.0, 0.09871141699841246)]",,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,2.310429208970163,,,,,,,,,,,,,,,,2.3003733339719474,2.310429208970163,2.40558629197767,3.0,0.09871141699841246,"[(3.0, 0.09871141699841246)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h51.48.570,4_calibr_sum,,2025.1.1,None,2025-12-30 18h52.03.978803 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.11667416599811986,"[(3.0, 0.11667416599811986)]",,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,2.419859083951451,,,,,,,,,,,,,,,,2.4071933339582756,2.419859083951451,2.5371362500009127,3.0,0.11667416599811986,"[(3.0, 0.11667416599811986)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h51.48.570,4_calibr_sum,,2025.1.1,None,2025-12-30 18h52.03.978803 +0400,
