Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,resp.keys,resp.corr,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,resp.stopped,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,fb_task.started,fb_task.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03091145900543779,0.03803491703001782,0.03803491703001782,4.816378459043335,space,4.774860624980647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h17.37.575,4_calibr_sum,,2025.1.1,120.55558138530402,2025-12-30 18h17.55.369580 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.816430792037863,4.83242616703501,4.83242616703501,5.439749250013847,space,0.6002354160300456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h17.37.575,4_calibr_sum,,2025.1.1,120.55558138530402,2025-12-30 18h17.55.369580 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,4.0,1.6370559589704499,"[(4.0, 1.6370559589704499)]",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,5.484355167020112,,,,,,,,,,,,,,,,5.458305084030144,5.484355167020112,7.095100667036604,4.0,1.6370559589704499,"[(4.0, 1.6370559589704499)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h17.37.575,4_calibr_sum,,2025.1.1,120.55558138530402,2025-12-30 18h17.55.369580 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.3572985829669051,"[(3.0, 0.3572985829669051)]",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,7.105077042011544,,,,,,,,,,,,,,,,7.097539584035985,7.105077042011544,7.462676334020216,3.0,0.3572985829669051,"[(3.0, 0.3572985829669051)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h17.37.575,4_calibr_sum,,2025.1.1,120.55558138530402,2025-12-30 18h17.55.369580 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,4.0,0.2830250419792719,"[(4.0, 0.2830250419792719)]",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,7.471747500007041,,,,,,,,,,,,,,,,7.464432334003504,7.471747500007041,7.7529840000206605,4.0,0.2830250419792719,"[(4.0, 0.2830250419792719)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h17.37.575,4_calibr_sum,,2025.1.1,120.55558138530402,2025-12-30 18h17.55.369580 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,4.0,0.4418731250334531,"[(4.0, 0.4418731250334531)]",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,7.763326334010344,,,,,,,,,,,,,,,,7.755434499995317,7.763326334010344,8.202307959028985,4.0,0.4418731250334531,"[(4.0, 0.4418731250334531)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h17.37.575,4_calibr_sum,,2025.1.1,120.55558138530402,2025-12-30 18h17.55.369580 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,4.0,0.5334280829993077,"[(4.0, 0.5334280829993077)]",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,8.212245333997998,,,,,,,,,,,,,,,,8.204454375023488,8.212245333997998,8.745532542001456,4.0,0.5334280829993077,"[(4.0, 0.5334280829993077)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h17.37.575,4_calibr_sum,,2025.1.1,120.55558138530402,2025-12-30 18h17.55.369580 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,4.0,3.349396416975651,"[(4.0, 3.349396416975651)]",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,8.754325916990638,,,,,,,,,,,,,,,,8.747056292020716,8.754325916990638,12.102323250030167,4.0,3.349396416975651,"[(4.0, 3.349396416975651)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h17.37.575,4_calibr_sum,,2025.1.1,120.55558138530402,2025-12-30 18h17.55.369580 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,4.0,0.7425593750085682,"[(4.0, 0.7425593750085682)]",,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,12.112273667007685,,,,,,,,,,,,,,,,12.104642042017076,12.112273667007685,12.852369208994787,4.0,0.7425593750085682,"[(4.0, 0.7425593750085682)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h17.37.575,4_calibr_sum,,2025.1.1,120.55558138530402,2025-12-30 18h17.55.369580 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,4.0,0.8594025420024991,"[(4.0, 0.8594025420024991)]",,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,12.86154491698835,,,,,,,,,,,,,,,,12.853821708995383,12.86154491698835,13.719068875012454,4.0,0.8594025420024991,"[(4.0, 0.8594025420024991)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h17.37.575,4_calibr_sum,,2025.1.1,120.55558138530402,2025-12-30 18h17.55.369580 +0400,
