Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,resp.keys,resp.corr,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,resp.stopped,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,fb_task.started,fb_task.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025859667046461254,0.03266358299879357,0.03266358299879357,1.5683253750321455,space,1.502898125036154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h29.05.511,4_calibr_sum,,2025.1.1,121.29586530594545,2025-12-30 18h29.26.833790 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5683895830297843,1.588115916994866,1.588115916994866,1.9371712080319412,space,0.33008595899445936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h29.05.511,4_calibr_sum,,2025.1.1,121.29586530594545,2025-12-30 18h29.26.833790 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,2.0,1.7418536249897443,"[(2.0, 1.7418536249897443)]",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,1.9833423750242218,,,,,,,,,,,,,,,,1.955064375011716,1.9833423750242218,3.6984909170423634,2.0,1.7418536249897443,"[(2.0, 1.7418536249897443)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h29.05.511,4_calibr_sum,,2025.1.1,121.29586530594545,2025-12-30 18h29.26.833790 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,4.0,0.6749840000411496,"[(4.0, 0.6749840000411496)]",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,3.708126750017982,,,,,,,,,,,,,,,,3.7010140000493266,3.708126750017982,4.381665542023256,4.0,0.6749840000411496,"[(4.0, 0.6749840000411496)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h29.05.511,4_calibr_sum,,2025.1.1,121.29586530594545,2025-12-30 18h29.26.833790 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,5.0,0.8075578749994747,"[(5.0, 0.8075578749994747)]",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,4.390859167033341,,,,,,,,,,,,,,,,4.383518250018824,4.390859167033341,5.199203916999977,5.0,0.8075578749994747,"[(5.0, 0.8075578749994747)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h29.05.511,4_calibr_sum,,2025.1.1,121.29586530594545,2025-12-30 18h29.26.833790 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,1.0,1.3835969159845263,"[(1.0, 1.3835969159845263)]",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,5.209335541992914,,,,,,,,,,,,,,,,5.201842583017424,5.209335541992914,6.590295292029623,1.0,1.3835969159845263,"[(1.0, 1.3835969159845263)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h29.05.511,4_calibr_sum,,2025.1.1,121.29586530594545,2025-12-30 18h29.26.833790 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,2.0,0.6271425840095617,"[(2.0, 0.6271425840095617)]",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,6.615191749995574,,,,,,,,,,,,,,,,6.592534416995477,6.615191749995574,7.227196583000477,2.0,0.6271425840095617,"[(2.0, 0.6271425840095617)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h29.05.511,4_calibr_sum,,2025.1.1,121.29586530594545,2025-12-30 18h29.26.833790 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,4.0,0.745549708022736,"[(4.0, 0.745549708022736)]",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,7.239103625004645,,,,,,,,,,,,,,,,7.229427832993679,7.239103625004645,7.981814667000435,4.0,0.745549708022736,"[(4.0, 0.745549708022736)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h29.05.511,4_calibr_sum,,2025.1.1,121.29586530594545,2025-12-30 18h29.26.833790 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.7903205829788931,"[(3.0, 0.7903205829788931)]",,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,7.991447625041474,,,,,,,,,,,,,,,,7.984158750041388,7.991447625041474,8.782606791995931,3.0,0.7903205829788931,"[(3.0, 0.7903205829788931)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h29.05.511,4_calibr_sum,,2025.1.1,121.29586530594545,2025-12-30 18h29.26.833790 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,5.0,0.6236300839809701,"[(5.0, 0.6236300839809701)]",,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,8.791119250003248,,,,,,,,,,,,,,,,8.784040958038531,8.791119250003248,9.41497550002532,5.0,0.6236300839809701,"[(5.0, 0.6236300839809701)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h29.05.511,4_calibr_sum,,2025.1.1,121.29586530594545,2025-12-30 18h29.26.833790 +0400,
